ID,Name
20012,TopLevelReleaseName
20013,ImagekitVersion
20017,FlexiVersion
20019,
20020,
25000,InCradleDetect
25001,OperationalMode
25002,Charging
25003,ScannerHealth
25004,LastDecodeData
25013,
30009,
30010,BatteryVoltage
30011,BatteryCurrent
30012,ChargePercentage
30013,BatteryHealthPercentage
30014,
30015,
30016,CurrentBatteryTemperature
30017,BatteryModelNumber
30018,BatteryManufacturedDate
30019,BatteryFirmwareVersionNumber
30020,FullChargeCapacity
30021,ChargeCyclesCount
30022,
30023,RemainingTimeToCompleteCharging
30024,HighestBatteryTemperature
30025,LowestBatteryTemperature
30026,ChargingStatus
30027,ChargeLevel
30028,
30029,MinGuranteedChargeCapacity
30030,BatterySerialNumber
30034,
